Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
29,1.0,0.0,0.0,2265.0,14.0,89.0,3607.0,0.1,84.09300000000002,0.0,0.0,593.4596030712128,,,,,,,,,,,,,,,,,,,,,40.015978691198605,24.5480519441791,80.69288296953945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,2334.0,15.0,69.0,3676.0,0.1,63.093999999999994,0.0,0.0,600.5886588096619,,,,,,,,,,,,,,,,,,,,,29.5929963198678,19.08861914902189,61.1743708212007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,0.0,0.0,57.0,1.0,57.0,3733.0,0.1,48.09699999999999,0.0,0.0,1001.828540802002,,,,,,,,,,,,,,,,,,,,,21.217330379874447,15.371748070621464,46.98152824330553,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,0.0,0.0,363.0,2.0,306.0,4039.0,0.1,277.3439999999999,0.0,0.0,1033.273612499237,,,,,,,,,,,,,,,,,,,,,120.48617269815465,72.33634095121606,240.95690400547184,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2.0,0.0,0.0,396.0,3.0,33.0,4072.0,0.1,28.004000000000005,0.0,0.0,1036.7469313144684,,,,,,,,,,,,,,,,,,,,,13.033071452174028,9.07610475670034,27.62913929152202,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,0.0,0.0,454.0,4.0,58.0,4130.0,0.1,52.093999999999994,0.0,0.0,1043.0088593959808,,,,,,,,,,,,,,,,,,,,,24.318316670347116,16.05088320033133,50.78505696198688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,0.0,0.0,494.0,5.0,40.0,4170.0,0.1,34.093999999999994,0.0,0.0,1047.4129943847656,,,,,,,,,,,,,,,,,,,,,15.631340304835945,10.962488948110215,33.53578442086388,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2.0,0.0,0.0,520.0,6.0,26.0,4196.0,0.1,19.095000000000006,0.0,0.0,1050.2653410434723,,,,,,,,,,,,,,,,,,,,,8.06406957881343,6.618296597221554,18.923161590971205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.0,0.0,0.0,550.0,7.0,30.0,4226.0,0.1,24.094000000000005,0.0,0.0,1053.7201945781708,,,,,,,,,,,,,,,,,,,,,10.794610364541029,8.044686085557343,23.817773418126606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.0,0.0,0.0,761.0,8.0,211.0,4437.0,0.1,203.27400000000003,0.0,0.0,1074.781766653061,,,,,,,,,,,,,,,,,,,,,93.16317592538269,54.72904363838868,183.98435460459908,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
